날짜,리뷰
2021.12.01,포인트로 걸치기 딱 좋아요 핸드폰 들어갈 수 있는 크기는 안되고 립스틱이랑 지갑정도 넣을 수 있어요
2021.11.22,미니 백인데 수납력도 꽤 좋은 편이고 좋아요!!! 너무 귀엽고 예뻐요ㅜㅜ
2021.12.01,포인트로 걸치기 딱 좋아요 핸드폰 들어갈 수 있는 크기는 안되고 립스틱이랑 지갑정도 넣을 수 있어요
2021.11.22,미니 백인데 수납력도 꽤 좋은 편이고 좋아요!!! 너무 귀엽고 예뻐요ㅜㅜ
2022.03.15,진짜 보자마자 너무 귀여우서ㅓ 입틀막ㅠㅠ 완전 귀얍고 색 이쁘고 너무 조아효
2022.02.19,너무 예뻐요 사이즈는 앙증 맞아서 뭐가 많이 들어갈 것 같진 않아요 그냥 딱 간편하게 휴대폰이랑 수정용 화장품 지갑 정도 ㅎㅎ
2022.02.16,선물로 구매했는데 맘에든다하네요 작고 귀여워서 포인트로 하기 좋고 끈도 길어서 다양하게 연출가능한것같아요
2022.02.09,스크래치가 처음부터 나 있었어요 택배 뜯자마자 확인한건데 이러네요 ㅠ 속상합니다 급해서 그냥 써요...=
2022.02.09,미니백좋아하는데 너무 귀엽고 깔끔해요 코트랑도 잘어울리고 맨투맨이랑도 귀여울듯 ㅎㅎ
2022.02.05,크기가 앙증맞고 귀여워요 의외로 수납공간이 있어서 데일리템으로 괜찮아요! 추천합니다
2022.02.01,특이한 색이라 포인트 되고 이뻐요! 색감은 사진보다 조금 더 노란기 도는 딱 정석 초록색이에요.
2022.01.23,포인트로 들고 다니기에 좋아요 색감도 쨍하고 귀여워요 추천합니다
2021.10.18,너무 귀여워용. 제가 그 가방이 마음에 많이 들었다.
2021.09.18,조그만해서 딱 핸드폰하고 립제품 카드지갑정도 넣으면 꽉차요 색이 선명해서 예뻐요
2022.03.15,진짜 보자마자 너무 귀여우서ㅓ 입틀막ㅠㅠ 완전 귀얍고 색 이쁘고 너무 조아효
2022.02.19,너무 예뻐요 사이즈는 앙증 맞아서 뭐가 많이 들어갈 것 같진 않아요 그냥 딱 간편하게 휴대폰이랑 수정용 화장품 지갑 정도 ㅎㅎ
2022.02.16,선물로 구매했는데 맘에든다하네요 작고 귀여워서 포인트로 하기 좋고 끈도 길어서 다양하게 연출가능한것같아요
2022.02.09,스크래치가 처음부터 나 있었어요 택배 뜯자마자 확인한건데 이러네요 ㅠ 속상합니다 급해서 그냥 써요...=
2022.02.09,미니백좋아하는데 너무 귀엽고 깔끔해요 코트랑도 잘어울리고 맨투맨이랑도 귀여울듯 ㅎㅎ
2022.02.05,크기가 앙증맞고 귀여워요 의외로 수납공간이 있어서 데일리템으로 괜찮아요! 추천합니다
2022.02.01,특이한 색이라 포인트 되고 이뻐요! 색감은 사진보다 조금 더 노란기 도는 딱 정석 초록색이에요.
2022.01.23,포인트로 들고 다니기에 좋아요 색감도 쨍하고 귀여워요 추천합니다
2021.10.18,너무 귀여워용. 제가 그 가방이 마음에 많이 들었다.
2021.09.18,조그만해서 딱 핸드폰하고 립제품 카드지갑정도 넣으면 꽉차요 색이 선명해서 예뻐요
2022.03.15,사이즈가 작아서 수납은 충분하지 않지만 너무 귀여워요
2022.02.19,진짜 너무 귀엽습니다 ㅎㅎ 빨리 친구들 만나서 자랑하고 다니고 싶네요
2022.02.18,"귀여워요 색깔도 이쁘고 만족합니다ㅎㅎ
다른 색도 구매할려구요"
2022.02.18,귀여워요 사이즈도 귀엽고 디자인도 귀엽습니당 사계절 다 맬 수 있을 것 같네용
2022.02.16,선물로 구매했는데 맘에든다하네요 작고 귀여워서 포인트로 하기 좋고 끈도 길어서 다양하게 연출가능한것같아요
2022.02.15,크기는 엄청 작은데 작은 거 알고 산거라 괜찮았어요. 귀엽고 코디하기 무난해요
2022.02.09,너무 귀엽고 좋은데 스크래치가 나 있네요 급하게 들고 갈거라 그냥 쓸게요 ..
2022.02.05,초록색 구매하고 예뻐서 검정색도 주문했어요! 귀엽고 예쁩니다 추천해요
2022.02.01,특이한 색이라 포인트 되고 이뻐요! 색감은 딱 정석 초록색이고 수납은 핸드폰 지갑 쿠션 틴트정도 딱 들어가요.
2022.01.07,색감이 쨍하고 보기보다 작고 귀여워요~! 포인트로 코디하기에 추천해요
2021.12.01,어차피 립스틱이랑 지갑만 넣고 다니려고 산거라 크기는 괜찮은데 폰이 들어갈 수 있을만한 크기는 아니에요 블레이저에 입으면 너무 이쁨여
